event,participant,success,unix_ms,bjt,extra
"recording_start","aoitest",1,1780738699379,"2026-06-06T17:38:19.379+08:00","pid=29012 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/aoitest_20260606_173819_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/aoitest_20260606_173819_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6）"
"recording_stop","NA",1,1780738729443,"2026-06-06T17:38:49.443+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=150 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/aoitest_20260606_173819_screen.mkv size_bytes=7583069"
"recording_start","AOItestV2",1,1780746612857,"2026-06-06T19:50:12.857+08:00","pid=1824 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOItestV2_20260606_195012_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOItestV2_20260606_195012_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=10.469888 recording_start_unix_ms=1780746612162 recording_start_bjt=2026-06-06T19:50:12.162+08:00"
"recording_stop","NA",1,1780746645238,"2026-06-06T19:50:45.238+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOItestV2_20260606_195012_screen.mkv size_bytes=8254006"
"recording_start","FullTrialRecordTEST",1,1780747169260,"2026-06-06T19:59:29.260+08:00","pid=23276 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/FullTrialRecordTEST_20260606_195929_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/FullTrialRecordTEST_20260606_195929_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=18.485098 recording_start_unix_ms=1780747169247 recording_start_bjt=2026-06-06T19:59:29.247+08:00"
"recording_stop","NA",1,1780747414284,"2026-06-06T20:03:34.284+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/FullTrialRecordTEST_20260606_195929_screen.mkv size_bytes=41791518"
"recording_start","AOITESTV3",1,1780748014393,"2026-06-06T20:13:34.393+08:00","pid=11848 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV3_20260606_201333_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV3_20260606_201333_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=8.774642 recording_start_unix_ms=1780748013776 recording_start_bjt=2026-06-06T20:13:33.776+08:00"
"recording_stop","NA",1,1780748038431,"2026-06-06T20:13:58.431+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=151 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/AOITESTV3_20260606_201333_screen.mkv size_bytes=6071489"
"recording_start","testvid",1,1780751868400,"2026-06-06T21:17:48.400+08:00","pid=2368 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/testvid_20260606_211747_screen.mkv ffmpeg=D:\Tools\ffmpeg\bin\ffmpeg.exe args=-y -f gdigrab -framerate 15 -draw_mouse 0 -offset_x 3456 -offset_y -262 -video_size 1920x1080 -i desktop -c:v libx264 -preset ultrafast -crf 30 -pix_fmt yuv420p ""../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/testvid_20260606_211747_screen.mkv"" mode=window_title title=Gallery 预览 [NetMode: Standalone 0]  （64-bit/PC D3D SM6） recording_start_world_sec=9.079912 recording_start_unix_ms=1780751867533 recording_start_bjt=2026-06-06T21:17:47.533+08:00"
"recording_stop","NA",1,1780751874021,"2026-06-06T21:17:54.021+08:00","was_running=1 graceful_q=1 forced=0 waited_ms=152 file=../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/testvid_20260606_211747_screen.mkv size_bytes=1788973"
