aoi_group_id,aoi_name,shape_id,reference_id,shape_type,x_min,y_min,x_max,y_max,center_x,center_y,radius,participant,trial_id,condition,phase,time_start,time_end,time_start_event,time_end_event,priority,enabled,rel_start_ms,rel_end_ms,ue_time_start_sec,ue_time_end_sec,viewport_width,viewport_height,source_component,projection_valid,is_clamped,time_mode,session_start_world_sec,session_rel_start_ms,session_rel_end_ms,recording_active,recording_start_world_sec,recording_start_unix_ms,recording_file,video_time_start_ms,video_time_end_ms,time_ms,unix_start_ms,unix_end_ms,bjt_start,bjt_end,loading_start_world_sec,experiment_code,aoi_scope,target_content_index,target_display_index,slot_permutation
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0413","video_relative_to_recording_start",rectangle,449,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10300.000,10350.000,536.753418,536.803406,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461693.312,461743.281,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461693.312,461743.281,461718.312,"1781613575866","1781613575916","2026-06-16T20:39:35.866+08:00","2026-06-16T20:39:35.916+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0414","video_relative_to_recording_start",rectangle,1864,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10300.000,10350.000,536.753418,536.803406,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461693.312,461743.281,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461693.312,461743.281,461718.312,"1781613575866","1781613575916","2026-06-16T20:39:35.866+08:00","2026-06-16T20:39:35.916+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0415","video_relative_to_recording_start",rectangle,450,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10350.000,10400.000,536.803406,536.853455,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461743.281,461793.344,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461743.281,461793.344,461768.312,"1781613575916","1781613575966","2026-06-16T20:39:35.916+08:00","2026-06-16T20:39:35.966+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0416","video_relative_to_recording_start",rectangle,1865,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10350.000,10400.000,536.803406,536.853455,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461743.281,461793.344,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461743.281,461793.344,461768.312,"1781613575916","1781613575966","2026-06-16T20:39:35.916+08:00","2026-06-16T20:39:35.966+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0417","video_relative_to_recording_start",rectangle,450,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10400.000,10450.000,536.853455,536.903442,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461793.344,461843.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461793.344,461843.312,461818.312,"1781613575966","1781613576016","2026-06-16T20:39:35.966+08:00","2026-06-16T20:39:36.016+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0418","video_relative_to_recording_start",rectangle,1865,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10400.000,10450.000,536.853455,536.903442,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461793.344,461843.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461793.344,461843.312,461818.312,"1781613575966","1781613576016","2026-06-16T20:39:35.966+08:00","2026-06-16T20:39:36.016+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0419","video_relative_to_recording_start",rectangle,450,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10450.000,10500.000,536.903442,536.953430,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461843.312,461893.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461843.312,461893.312,461868.312,"1781613576016","1781613576066","2026-06-16T20:39:36.016+08:00","2026-06-16T20:39:36.066+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0420","video_relative_to_recording_start",rectangle,1865,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10450.000,10500.000,536.903442,536.953430,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461843.312,461893.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461843.312,461893.312,461868.312,"1781613576016","1781613576066","2026-06-16T20:39:36.016+08:00","2026-06-16T20:39:36.066+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
"exp2_table_objects","实验二桌面四模型总体区域","Exp2_004_exp2_table_objects_0421","video_relative_to_recording_start",rectangle,372,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10500.000,10550.000,536.953430,537.003418,1920,1046,"ObjectSlot1-4",1,1,"video_relative_to_screen_recording_start",75.060127,461893.312,461943.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461893.312,461943.312,461918.312,"1781613576066","1781613576116","2026-06-16T20:39:36.066+08:00","2026-06-16T20:39:36.116+08:00",526.453430,EXP2,"exp2_table",4,4,"1:1|2:2|3:3|4:4"
"exp2_target_object","实验二当前目标模型_头顶","Exp2_004_exp2_target_object_0422","video_relative_to_recording_start",rectangle,1771,0,1919,1045,,,,"A037","Exp2_004","E3_SPATIAL_NONPROGRESSIVE",loading,,,,,1,TRUE,10500.000,10550.000,536.953430,537.003418,1920,1046,"ObjectSlot4",1,1,"video_relative_to_screen_recording_start",75.060127,461893.312,461943.312,1,75.060127,"1781613114174","../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A037_v2_20260616_203154_screen.mkv",461893.312,461943.312,461918.312,"1781613576066","1781613576116","2026-06-16T20:39:36.066+08:00","2026-06-16T20:39:36.116+08:00",526.453430,EXP2,"exp2_target",4,4,"1:1|2:2|3:3|4:4"
